[ROOT-INFO]: 2019-07-15 19:14:06,020: Testing Notes: Objective Distancing - Sentiment Sentence Level - rawScore * polarityOnly
[ROOT-INFO]: 2019-07-15 19:14:06,022: Objective Analysis Initialized
[REAPPRAISAL-INFO]: 2019-07-15 19:14:32,620: spaCy Library Loaded
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,624: Model Initialized
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,916: Old Score: 4.51063829787234, New Score: 1.804255319148936
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,916: Old Score: 3.808510638297872, New Score: 2.2851063829787233
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,934: Old Score: 4.0638297872340425, New Score: 2.4382978723404256
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,949: Old Score: 3.6739130434782608, New Score: 1.2246376811594202
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,949: Old Score: 4.375, New Score: 0.7777777777777778
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,966: Old Score: 4.723404255319148, New Score: 2.558510638297872
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,982: Old Score: 4.833333333333333, New Score: 0.04833333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,999: Old Score: 5.297872340425532, New Score: 1.89209726443769
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,999: Old Score: 5.1914893617021285, New Score: 0.051914893617021285
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,015: Old Score: 5.5, New Score: 0.055
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,032: Old Score: 4.680851063829787, New Score: 2.054373522458629
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,048: Old Score: 3.7083333333333335, New Score: 0.7416666666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,064: Old Score: 3.7446808510638303, New Score: 3.5574468085106385
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,066: Old Score: 5.9361702127659575, New Score: 0.05936170212765957
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,082: Old Score: 4.375, New Score: 1.640625
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,082: Old Score: 3.595744680851064, New Score: 1.558156028368794
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,100: Old Score: 4.770833333333333, New Score: 2.3854166666666665
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,118: Old Score: 5.0638297872340425, New Score: 0.05063829787234043
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,130: Old Score: 4.25531914893617, New Score: 4.25531914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,183: Old Score: 5.021739130434782, New Score: 1.6739130434782608
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,217: Old Score: 4.065217391304348, New Score: 0.04065217391304348
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,239: Old Score: 3.404255319148936, New Score: 1.702127659574468
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,258: Old Score: 4.468085106382978, New Score: 2.234042553191489
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,273: Old Score: 5.0212765957446805, New Score: 0.05021276595744681
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,292: Old Score: 3.595744680851064, New Score: 0.03595744680851064
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,307: Old Score: 3.4255319148936163, New Score: 3.082978723404255
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,325: Old Score: 3.8125, New Score: 0.038125
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,341: Old Score: 3.9574468085106393, New Score: 1.5829787234042558
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,358: Old Score: 3.9787234042553186, New Score: 2.364498480243161
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,358: Old Score: 5.1875, New Score: 0.051875000000000004
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,373: Old Score: 4.0212765957446805, New Score: 1.5079787234042552
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,391: Old Score: 4.586956521739131, New Score: 0.9173913043478262
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,407: Old Score: 4.4375, New Score: 0.22187500000000002
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,424: Old Score: 4.446808510638298, New Score: 0.044468085106382976
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,424: Old Score: 4.3125, New Score: 0.043125000000000004
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,440: Old Score: 3.4255319148936163, New Score: 1.1418439716312054
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,456: Old Score: 3.127659574468085, New Score: 0.03127659574468085
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,457: Old Score: 3.042553191489361, New Score: 0.03042553191489361
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,472: Old Score: 4.127659574468085, New Score: 0.04127659574468085
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,489: Old Score: 4.369565217391305, New Score: 2.548913043478261
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,489: Old Score: 4.291666666666667, New Score: 2.1458333333333335
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,505: Old Score: 4.97872340425532, New Score: 0.049787234042553204
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,505: Old Score: 3.583333333333333, New Score: 0.03583333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,522: Old Score: 4.319148936170213, New Score: 0.043191489361702126
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,538: Old Score: 3.808510638297872, New Score: 0.03808510638297872
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,538: Old Score: 4.680851063829787, New Score: 0.04680851063829788
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,555: Old Score: 4.872340425531915, New Score: 0.04872340425531915
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,555: Old Score: 4.404255319148937, New Score: 0.044042553191489364
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,575: Old Score: 5.170212765957447, New Score: 0.05170212765957447
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,592: Old Score: 3.3617021276595747, New Score: 2.9881796690307327
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,592: Old Score: 4.148936170212766, New Score: 0.04148936170212766
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,615: Old Score: 5.723404255319148, New Score: 0.8585106382978722
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,625: Old Score: 5.553191489361702, New Score: 0.05553191489361702
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,632: Old Score: 4.212765957446808, New Score: 4.212765957446808
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,642: Old Score: 3.152173913043478, New Score: 0.03152173913043478
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,651: Old Score: 5.434782608695652, New Score: 0.05434782608695653
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,667: Old Score: 3.3260869565217392, New Score: 1.6630434782608696
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,667: Old Score: 3.9361702127659575, New Score: 0.039361702127659576
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,685: Old Score: 4.6382978723404245, New Score: 0.046382978723404245
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,700: Old Score: 5.659574468085108, New Score: 0.05659574468085108
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,717: Old Score: 5.326086956521738, New Score: 1.479468599033816
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,733: Old Score: 5.369565217391305, New Score: 0.5369565217391304
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,733: Old Score: 3.9787234042553186, New Score: 3.9787234042553186
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,750: Old Score: 4.0212765957446805, New Score: 2.4127659574468088
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,783: Old Score: 4.787234042553191, New Score: 1.4361702127659572
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,802: Old Score: 5.456521739130435, New Score: 2.7282608695652173
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,820: Old Score: 3.765957446808511, New Score: 1.711798839458414
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,838: Old Score: 3.9375, New Score: 2.4609375
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,857: Old Score: 5.108695652173913, New Score: 0.051086956521739134
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,875: Old Score: 3.9787234042553186, New Score: 0.03978723404255319
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,910: Old Score: 3.4782608695652173, New Score: 0.034782608695652174
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,910: Old Score: 4.958333333333333, New Score: 0.04958333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,928: Old Score: 5.125, New Score: 0.051250000000000004
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,943: Old Score: 3.020833333333333, New Score: 2.0138888888888884
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,944: Old Score: 3.872340425531915, New Score: 0.03872340425531915
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,962: Old Score: 4.829787234042553, New Score: 0.048297872340425534
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,978: Old Score: 4.914893617021278, New Score: 0.04914893617021278
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:33,995: Old Score: 3.75, New Score: 0.875
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,029: Old Score: 4.770833333333333, New Score: 3.3395833333333336
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,045: Old Score: 5.125, New Score: 0.051250000000000004
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,062: Old Score: 4.333333333333333, New Score: 0.04333333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,063: Old Score: 3.0638297872340425, New Score: 0.3829787234042553
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,078: Old Score: 4.553191489361702, New Score: 0.04553191489361702
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,078: Old Score: 3.5319148936170213, New Score: 0.03531914893617021
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,112: Old Score: 4.0, New Score: 2.1333333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,136: Old Score: 5.531914893617022, New Score: 0.055319148936170216
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,154: Old Score: 5.0625, New Score: 0.050625
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,178: Old Score: 4.6382978723404245, New Score: 0.046382978723404245
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,196: Old Score: 4.229166666666667, New Score: 1.5683159722222224
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,230: Old Score: 4.723404255319148, New Score: 3.6370212765957444
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,268: Old Score: 4.304347826086956, New Score: 2.943866459627329
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,287: Old Score: 4.297872340425532, New Score: 1.4326241134751774
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,305: Old Score: 5.604166666666668, New Score: 0.05604166666666668
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,321: Old Score: 3.9583333333333335, New Score: 0.03958333333333334
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,339: Old Score: 4.173913043478262, New Score: 0.9142857142857145
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,339: Old Score: 3.8541666666666665, New Score: 0.03854166666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,356: Old Score: 3.8936170212765964, New Score: 3.017553191489362
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,374: Old Score: 5.229166666666667, New Score: 0.052291666666666674
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,390: Old Score: 5.851063829787233, New Score: 1.1702127659574466
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,424: Old Score: 4.456521739130435, New Score: 0.22282608695652173
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,458: Old Score: 3.347826086956522, New Score: 0.9671497584541064
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,477: Old Score: 5.595744680851063, New Score: 0.055957446808510634
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,492: Old Score: 3.4791666666666665, New Score: 3.3631944444444444
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,509: Old Score: 4.340425531914893, New Score: 0.04340425531914893
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,510: Old Score: 4.574468085106383, New Score: 2.3329787234042554
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,526: Old Score: 5.866666666666666, New Score: 5.133333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,544: Old Score: 6.25531914893617, New Score: 0.0625531914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,544: Old Score: 5.583333333333332, New Score: 0.7444444444444442
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,559: Old Score: 5.644444444444446, New Score: 1.2095238095238097
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,580: Old Score: 5.145833333333333, New Score: 0.05145833333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,595: Old Score: 4.108695652173913, New Score: 1.3695652173913042
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,612: Old Score: 3.9787234042553186, New Score: 0.03978723404255319
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,633: Old Score: 5.7659574468085095, New Score: 0.0576595744680851
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,645: Old Score: 5.291666666666667, New Score: 0.05291666666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,654: Old Score: 5.3617021276595755, New Score: 0.053617021276595754
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,657: Old Score: 4.425531914893617, New Score: 0.04425531914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,673: Old Score: 5.489361702127661, New Score: 0.054893617021276604
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,675: Old Score: 3.6458333333333335, New Score: 0.036458333333333336
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,691: Old Score: 4.574468085106383, New Score: 2.859042553191489
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,709: Old Score: 3.739130434782609, New Score: 0.37391304347826093
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,724: Old Score: 2.8297872340425534, New Score: 0.028297872340425533
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,724: Old Score: 4.0, New Score: 1.2
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,742: Old Score: 5.127659574468085, New Score: 0.05127659574468085
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,758: Old Score: 3.9375, New Score: 0.039375
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,776: Old Score: 4.1875, New Score: 0.041875
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,810: Old Score: 3.739130434782609, New Score: 2.430434782608696
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,825: Old Score: 3.1063829787234036, New Score: 0.031063829787234036
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,843: Old Score: 3.787234042553192, New Score: 1.5148936170212768
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,859: Old Score: 4.208333333333333, New Score: 4.208333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,876: Old Score: 3.9583333333333335, New Score: 0.03958333333333334
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,892: Old Score: 4.48936170212766, New Score: 0.897872340425532
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,909: Old Score: 2.9791666666666665, New Score: 1.4895833333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,940: Old Score: 4.875, New Score: 0.04875
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,958: Old Score: 4.0212765957446805, New Score: 3.8202127659574465
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,974: Old Score: 3.872340425531915, New Score: 0.9922872340425531
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,976: Old Score: 3.851063829787234, New Score: 0.03851063829787234
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,992: Old Score: 6.085106382978723, New Score: 0.8789598108747045
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:34,992: Old Score: 4.666666666666667, New Score: 0.04666666666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,010: Old Score: 3.234042553191489, New Score: 1.7823167848699766
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,025: Old Score: 3.782608695652174, New Score: 2.5217391304347823
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,042: Old Score: 3.234042553191489, New Score: 0.8085106382978723
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,058: Old Score: 3.6170212765957452, New Score: 1.3865248226950355
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,075: Old Score: 3.914893617021277, New Score: 3.914893617021277
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,075: Old Score: 5.914893617021277, New Score: 0.059148936170212774
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,091: Old Score: 4.604166666666667, New Score: 0.04604166666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,091: Old Score: 4.630434782608695, New Score: 0.04630434782608695
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,108: Old Score: 4.787234042553191, New Score: 2.69281914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,127: Old Score: 4.51063829787234, New Score: 4.51063829787234
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,137: Old Score: 4.319148936170213, New Score: 1.4397163120567376
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,149: Old Score: 3.8541666666666665, New Score: 1.5183080808080807
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,155: Old Score: 3.4444444444444446, New Score: 0.034444444444444444
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,173: Old Score: 4.3617021276595755, New Score: 1.4539007092198584
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,206: Old Score: 5.425531914893617, New Score: 0.05425531914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,222: Old Score: 4.468085106382978, New Score: 0.04468085106382978
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,256: Old Score: 4.604166666666667, New Score: 1.6114583333333334
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,292: Old Score: 4.456521739130435, New Score: 0.7427536231884058
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,325: Old Score: 3.934782608695652, New Score: 1.967391304347826
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,343: Old Score: 4.829787234042553, New Score: 0.048297872340425534
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,359: Old Score: 3.7083333333333335, New Score: 1.9866071428571428
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,377: Old Score: 3.6595744680851054, New Score: 0.18297872340425528
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,377: Old Score: 3.5106382978723403, New Score: 0.035106382978723406
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,393: Old Score: 4.5625, New Score: 0.045625
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,409: Old Score: 3.8333333333333335, New Score: 1.3416666666666666
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,425: Old Score: 3.6666666666666665, New Score: 1.222222222222222
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,442: Old Score: 4.0625, New Score: 0.040625
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,443: Old Score: 3.8541666666666665, New Score: 0.03854166666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,459: Old Score: 4.872340425531915, New Score: 0.04872340425531915
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,476: Old Score: 3.914893617021277, New Score: 3.914893617021277
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,492: Old Score: 4.521739130434782, New Score: 2.260869565217391
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,492: Old Score: 4.0, New Score: 0.04
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,510: Old Score: 4.25, New Score: 1.275
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,527: Old Score: 3.4347826086956523, New Score: 1.7173913043478262
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,527: Old Score: 3.9574468085106393, New Score: 1.5829787234042558
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,545: Old Score: 3.4255319148936163, New Score: 2.8546099290780136
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,561: Old Score: 3.3829787234042548, New Score: 3.3829787234042548
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,561: Old Score: 4.541666666666667, New Score: 1.8166666666666669
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,579: Old Score: 4.085106382978723, New Score: 2.3343465045592704
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,579: Old Score: 3.4166666666666665, New Score: 3.0749999999999997
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,598: Old Score: 3.5416666666666665, New Score: 1.922619047619048
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,616: Old Score: 3.5319148936170213, New Score: 1.5599290780141843
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,630: Old Score: 5.1875, New Score: 0.051875000000000004
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,639: Old Score: 4.468085106382978, New Score: 0.04468085106382978
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,639: Old Score: 3.520833333333333, New Score: 1.4083333333333332
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,657: Old Score: 5.829787234042553, New Score: 0.05829787234042553
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,657: Old Score: 3.808510638297872, New Score: 1.904255319148936
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,682: Old Score: 4.74468085106383, New Score: 0.0474468085106383
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,696: Old Score: 3.3191489361702127, New Score: 3.3191489361702127
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,696: Old Score: 4.3125, New Score: 0.043125000000000004
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,711: Old Score: 4.895833333333333, New Score: 0.9791666666666665
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,728: Old Score: 3.7446808510638303, New Score: 1.6018912529550828
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,761: Old Score: 3.260869565217391, New Score: 1.6555183946488292
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,778: Old Score: 4.212765957446808, New Score: 1.404255319148936
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,812: Old Score: 3.978260869565217, New Score: 1.5913043478260869
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,829: Old Score: 3.8333333333333335, New Score: 0.03833333333333334
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,845: Old Score: 4.276595744680851, New Score: 0.04276595744680851
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,878: Old Score: 4.553191489361702, New Score: 0.04553191489361702
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,896: Old Score: 4.25531914893617, New Score: 1.9908814589665653
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,912: Old Score: 4.51063829787234, New Score: 0.0451063829787234
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,930: Old Score: 3.5531914893617023, New Score: 0.8882978723404256
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,946: Old Score: 5.1489361702127665, New Score: 0.051489361702127666
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,963: Old Score: 5.893617021276596, New Score: 0.05893617021276597
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,964: Old Score: 4.645833333333333, New Score: 1.9744791666666666
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,980: Old Score: 3.3043478260869565, New Score: 0.03304347826086956
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:35,997: Old Score: 5.520833333333332, New Score: 1.1501736111111107
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:36,013: Old Score: 3.6666666666666665, New Score: 2.3222222222222224
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:36,013: Old Score: 5.541666666666668, New Score: 0.05541666666666668
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:36,031: Old Score: 3.6170212765957452, New Score: 0.03617021276595745
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:36,047: Old Score: 4.673913043478262, New Score: 0.8179347826086958
