,addcode,Group,Bin,Subj_ID,daycode,Cue1,Cue2,Group_ID,ReappSuccess,Condition,score,response
10,YBR2002,Y,BR,2002,2,CHANGE,LOOK,FAR,-0.13333333333333286,RegNeg,4.333333333333333,"In the past, a man holds a sobbing child. Why he is crying is unknown to the viewer. . In a time hundreds of years in the future, someone brushes away the dirt to uncover the body of a dead child . A man far into the future is pointing a gun at the camera or whomever is behind it. A man a long time ago holds a gun to his own head.  or . In a place far far away from me a white man holds an unarmed black man at . In the past four armed men seem to be jumping a car with a pasenger(s), perhaps to steal the car in broad daylight. . Sometime in the past, an injured man is being ushered by or running from soldisers . decades in the past a man with his face covered and multiple rifles laid out on a bed prepares to shoo. A female police officer is on the scene of a murder decades ago. A man is shot in t. Years and years ago a policeman arrests a man, probably the husband and father of the w. "
11,YBR2002,Y,BR,2002,3,CHANGE,LOOK,FAR,0.4500000000000002,RegNeg,4.75,"Its the future, a newborn is in the NICU receiving treatment. He is definitt. In a time hundreds of years in the future, a person lies dead and naked on a tarp wi. In a time 100 years in the future multiple people lie bloodied, naked, and dead in the dirt. It;s horrifying to look at and I'm really tired of pictures like these. SOme of their hands are tied. They maybe look burnt. It has been much longer than 30 seconds and I'm not sure why the image isn't switching yet. 
. In a time far far away, a dead animal corp. A man decades in the past lies unconscious or maybe dead on a bed or table. He has stitched wounds and a tube sticking out of his chest probably to allow him to breathe because his lungs have been punctured so. in the past someone holds their mutilated hand over a blood filled bin. I'm typing this through squinted ey. A woman without clothes on her lower half lays on a bed. There is a scar right above her pelvic regio. Decades in the future, a man in the hospital is in distress and is tied up to a hospital bed. They have an IV. In a time far away, a body lies on a shee. In a place far from me in another country, a child is getting his bandages taken off. . "
12,YAQ2001,Y,AQ,2001,5,LOOK,CHANGE,FAR,0.40000000000000013,RegNeg,1.4,"There was an argument where a guy was berating a girl. They looked concerned. This took place a long time ago and was in a place far away. . There was a person who had been badly hurt. They were bloodied badly with their eye completely torn out. This took place a long time ago and in a place far. There was a situation where someone overdosed on pills. The pills were scattered and the person seems to have passed out. THis took place a long time ago in a location far away. . There was an argument where a girl was screaming at a guy who has a shocked expression on his face. This took place a long time ago in an unknown plac. There was a  tense situation where two people don't look very happy. This took place a while ago in a place pretty far away. . There was a child who needed medical attention. They are hooked up to a machine and have tubes attached to their body. This was a while ago and in a place . There was an argument between two people where the man was standing blankly with his arms crossed and the woman was yelling in frustration. . There was a situation where a woman was worried and stressed. This took place a long time ago and happened somewhere far a. There was a situation where someone was being carted away by emergency medical services. This took place a while ago in a land fa. There were two people, with the woman looking worried while pressing her hand against the man's chest. This occurred a long time ago in an unknown place prety fa. "
13,XAS1003,X,AS,1003,1,LOOK,CHANGE,OBJ,,RegNeg,,"A man is being held down by a police officer, and other people seem to be looking at the scene. The police officer is being forceful to the man, and hte man . A girl seems very upset aobout the people lying on the ground. The girl lying down on the right loo. A man is covered in duct tape and is being restricted from speaking. There are police officers behind the man, and he. There are people in the back of the truck with their arms bound to the side of teh truck. Their faces are also covered so that they cannot see. They are. There are men in a pit gathered around each other. There is also a gun in the front. They are all weraring long-sleeeved clothing. A man is on fire after someone else lit him on fire. He is crouching to the ground, and the fire is burning tre. Firefighters are gathered around a car that hit a tree and flipped. There are bystanders next to the firefighers. The car seems destroyed an d. A car is flipped over, and firefighters are tending to someone lying next to the car. The car flipped over off the road, and th. A woman is being carried down by firefighters out of a house. She appears to be either badly injured or deceased, and she has . A woman is guiding a man who is carrying a little girl through waist-high water. The water . "
14,YAS2003,Y,AS,2003,1,LOOK,CHANGE,FAR,1.7777777777777777,RegNeg,2.2222222222222223,"A police officer is arresting someone in the past.. A young child is starring towards their parental figure whos eon the ground being threatened someone in the past. A person has duct tape over their mouth with police officers surrounding them far in the past/lonmg time ago.. People are handcuffed to something far away from me and are being held hostage. . People are being held hostage in a ditch somewhere far away from me. . Someone is burning as they exit some sort of fire far away from me. They are crouching towards something.. Car accident far away from me where firefighters are helping out. . There was a car accident far away from me where a woman is being carted away with the help of some police officers or fireman.. A woman is being carried away from a burning home some time ago in the past by a fireman.. Three people are wading through icy waters in the past, working together to get out of the water. . "
15,YBR2002,Y,BR,2002,4,CHANGE,LOOK,FAR,-1.6000000000000005,RegNeg,5.4,"A woman was beaten badly and her face is bloodied. She has a bandage on her shoulder. she is in a place fa. A bloated and bloodied corpse from a time far in the future. IT is disgusting t. A long time ago in a distant place a man had his face shot in. His face is blown. In a place a long time ago, a man seems to be a burn victim as he is blody and hardly has skin. A man in a time far in the future is a burn victim. His burn's are on his face and look relatively recent. In a place thousands of lightyears awy from me, a child lays bloody and perhaps . Far far far in the past a person was horriblyl difigured. No lips and no nose. Missing an eye ld/. In a time decades ago, a woman is badly beaten. Her eye is black and swollen and she has . In a place far away from me a little black child has his mouth ripped open on the side. His teeth an. Many years ago a child was getting his teeth cleaned by a dentist. He was holding a stuffed animal and doesn'. "
16,YAS2003,Y,AS,2003,2,LOOK,CHANGE,FAR,2.4666666666666663,RegNeg,3.3333333333333335,A very sick child is hooked up to a lot of machines sometime ago in the past.. A man is holding a gun to another man some time ago in the past.. A man is coming towards the camera somewhere far away from me.. A man is hitting a woman on the cheek somewhere far away from me.. A man is holding a knife to a woman some time ago in the past.. A woman is holding a knife to a woman's neck somewhere far away from me.. Someone has a knife to their neck somewhere far away from me. . A man is holding a gun to a woman's head some time ago in the past. . A woman is pushing back a man somewhere very far away from me.. A person is holding a gun towards someone in a red outfit very far away from me.. 
17,XAS1003,X,AS,1003,2,LOOK,CHANGE,OBJ,3.0999999999999996,RegNeg,2.0,"A baby is having a treatment in an emergency room. The baby's skin is wrinkled. There is. A man is pointing a gun at another man. The other man is reaching up to grab the gun. They are on a train. The gun. A masked person is holding a knife. They have a jacket on, and the image is quite blurred, but the eyes are in focus. . A man is causing distress to a woman. The image is very blurred, and the man's hand is blur. A man is holding a knife to a woman's throat. He is grabbing her mouth. The scene behind them is very dark. . A man is holding a knife to a woman's neck. He is covering her mouth. The mouth seems to be pr. A man is holding a machete up to his neck. He is holding something else in his right hand. There are some people behind him. . A man is pointing a gun at a woman. He is holding her hair. The gun is being pressed into her cheek. The . A woman is looking down and pushing a man next to her. The man is looking at the woman. The scene is slightly blurred. The woman'. A woman is looking at a gun that is not being pointed at her. The room around her is disorganized. The image is dark and slightly . "
18,YAS2003,Y,AS,2003,3,LOOK,CHANGE,FAR,1.0,RegNeg,2.9,Two people are in an argument while their sonis underneath them holding his ears. This image makes me feel sad and worrie. A kid is in pain or is upset somewhere very far away from me.. A person is holding a gun towards something sometime long ago.. A person is holding a gun towards the side some time long ago.. A person is running into a room with a gun some time ago in the past. There is also another person as well holding something too. . A kid is running away from a man holding a gun towards him somewhere very far away from me.. A man is holding a gun and has a cloth covering his mouth somewhere very far away from me.. A person is holding a gun towards the camera somewhere very far away from me with two other people on either side of the person holding the gun.. A man is holding a gun a bit away from the camera some where far away from me.. Someone is firing a gun towards the camera some where very far away from me.. 
19,YBR2002,Y,BR,2002,5,CHANGE,LOOK,FAR,-1.7000000000000002,RegNeg,4.4,"In the past a boy has a gash in his face. It's pretty disturbing to look at and his face is rather swol. Decades into the past, a young child is horribly mutilated. Looks to be burned. And it is . In a place hundreds of miles from me a man and woman sit with their arms crossed on a bed. A couple with a disagreement.. A woman's corpse a long time from now. Pretty grotesque,. In the future, a woman points her finger at a confused man. They seem to be at a kitchen table. Decades in the past, a man lies with his throat slit. It is not too terrible to look at but I'd much rather be looking at something more . Far far far away from me in the past, a person lays on a stretcher with a face mutilated beyond recognition. I'm super upset by . Far away in the future, a person has very swollen under eyes. Perhaps from a sickness. It is pretty disturbing to looka. Decades in the past a woman sits with a swollen eye and a black eye. Probably from domestic violence. It is a little upsetting t . A malnourished man lays in a hospital bed in the past. He has a breathing tube on. . "
20,XAS1003,X,AS,1003,3,LOOK,CHANGE,OBJ,2.7,RegNeg,1.3,"Two adults are arguing at each other, and a boy between them is covering his ears. The adult woman is p. A baby is sitting down on a chair. The baby looks upset. The chair is . Two hands are holding a pistol. The gun is very close to the screen. The hands are gripped tig. A hand is holding a gun. The gun is a small pistol. The background is dark, and the sleeve of the . Two people are running into a room with pointed guns. The image is very blurred, and they are . A boy without a left arm is running toward the camera. There is man behind him with a gun behind bushes.. A man is holding a gun and has a bandana over his face. He is crouching down . Three people are standing and looking at the camera, and the one in the middle is pointing a gun at the camera. They are all . A man is holding a gun and possibly pointing it at someone. He is wearing a pair of glasses, and his shirt is tied off. . A man in camo gear is pointing a gun at the camera. His left eye is squinted, and his right eye is aligned with the gun. . "
21,ZCS3003,Z,CS,3003,1,LOOK,LOOK,LOOK,,RegNeg,,
22,XBT1004,X,BT,1004,1,CHANGE,LOOK,OBJ,0.11111111111111116,RegNeg,1.0,"Bloody face, white individual. very white right eye. Clea. Some white head not sure if human. Seems to be blood and face gives resemblance of silly putty.. Man who has been shot in the head. Blood spattered on wall. He is lying on a blue striped pillow.. Some guy with blood all over. Blood is dried in certain areas. Man has sever burning, but doesn't currently look like he's in pain. . Bloody person on table cloth. Something in their mouth. Blood is all over the body. Face that is seriously disfigured. 1 eye closed, no nose. Woman smoking a cigarette. Semms scuffed up, and . Black kid. Torn mouth and teeth are exposed. Tongue is sticking out. Hand on his head. Eyes wide . Kid with someone working on his mouth. Dentist has gloves in hand. Kid has br. "
23,YAS2003,Y,AS,2003,4,LOOK,CHANGE,FAR,0.09999999999999964,RegNeg,2.7,A couple is having an argument some time ago in the past.. A person has a very bloodied and cut up face some time ago in the past.. Someone overdosed on medications very far away from me. . There is an argument between two people very far away from me.. A woman and her son are in disagreeent and annoyed with one another. I feel a bit uneasy when looking at this picture.. A man is holding and comforting a sick child very far away from me.. Two people are having an argument very far away from me.. A woman is consoling another crying or upwoman sometime ago in the past.. A person is being carted away for a medical emergency somewhere very far away from me.. Two people are holding each other after looking slightly shaken and beat-up some time ago in the past.. 
24,XAS1003,X,AS,1003,4,LOOK,CHANGE,OBJ,0.19999999999999996,RegNeg,1.8,"A man is yelling at a woman and is pointing his hands at her. The woman is looking the other way and might be covering her ear . A face has a large gash on its right eye. There is blood completely covering the face. There is also blood at the mouth. A. A woman is passed out, and there are pills lying next to her. Faded in the background, there is someone who is cov. A woman is yelling at a man. The man is looking at the camera. The man is very clear in the photo, while the woman's face is blurred. . A woman is holding her head in her hand and sitting down on a couch. There is a boy next to her who is slouched back and looking the other way. They are not lookn. A man is holding a child who is connected to medical equipment. The child's hand is wrapped up, a nd there is a wire coming into his. A woman is screaming and has her hands up in the air. She is looking away from the man next to her. The man has his harms c. A woman is staring at another woman. The woman in front has her head in her hand. She is clear in view, and the wom. Three men are using someone on a stretcher. One man is pouring water on . A woman is resting her hand on a man's chest. There is blood on the man's face. He is resting his head on her head. His jacket is not o. "
25,YAS2003,Y,AS,2003,5,LOOK,CHANGE,FAR,1.2000000000000002,RegNeg,3.3,This is a grotesque image of a hand somewhere far away from me and in the past.. This is an image of a man with a bloodied face and shirt some time ago in the past far away from me.. There is a person holding a knife very far away from me in the past.. A woman has messy makeup and a cigarette some time ago in the past.. A man is grabbing a woman somewhere very far away from me.. A man is grasping a woman's throat some time ago in the past.. A man has a knife close to the throat of a woman somewhere very far away from me in the past.. A man struck a woman some time ago in the past.. There is a man wearing a mask some time ago in the past.. A zebra is being cut somewhere very far away from me.. 
26,ZCS3003,Z,CS,3003,2,LOOK,LOOK,LOOK,,RegNeg,,
27,XAS1003,X,AS,1003,5,LOOK,CHANGE,OBJ,2.4,RegNeg,1.9,"There is a hand lying out on a blanket. The hand is completley severed and covered in blood. The bone is sti. A man is covered in blood and there is also blood coming from his face. He is standing upright and walking. . There is a hand holding a knife. The image is very blurred, and only the hand can be seen. The . A woman is holding a cigarette. There is makeup coming out from her eyes. Her hair is ruff. A man is holding a woman and putting her in a van. The woman is struggling and her arms are wrapped around his arm. A man is holding a woman's neck, and her hands are grabbing onto his arm. The man's other hand is blurred and looks to be swingn. A man is holding a knife to a woman's throat. The woman's face cannot be seen. The man is wearing someth. A man appears to have just hit a woman. The woman is very blurred, and the b. There is a figure with a mask. Only the eyes are showing. The image is very blurred, and it is very dark. Th. Someone is cutting a dead tiger and letting its blood flow into a bucket. The tiger is on a rope. "
28,XBT1004,X,BT,1004,2,CHANGE,LOOK,OBJ,0.0,RegNeg,1.0,red and white flesh like substance. some round shaped structure with whit. Woman grabbing man clearly upset with him. Man is looking down. . Woman pointing finger at kid. Kid is in cupboard looking up. Wea. Woman and man facing each other. Man has hand in jeans. Little girl staring at 2 adults. Teddy . Kid with tan jacket on. He is white with brown hair. Man with brown hair. Black. Blood on face. Face is deformed. Arms are in the air. Woman is white wearing a purple dress. woman hand out reaching out. Woman is annoyed or sad. Mom seems to be . Woman with mouth open at man. Woman has white shirt and brown hair. Man has black/brown hair and is a. man blonde hair looking at woman. Woman staring back at man. hands o. 
29,ZCS3003,Z,CS,3003,3,LOOK,LOOK,LOOK,,RegNeg,,
30,YBT2004,Y,BT,2004,1,CHANGE,LOOK,FAR,0.5,RegNeg,1.3333333333333333,"This boy was found dead a few days ago and was killed unmercifully . Some disgusting creature is examined a long time ago, Unidenti. A few decades ago this man had his head blown off by a shotgun. . A disease a few years ago destroyed this person's skin and killed the. A man suffered from serious burn wounds a few years ago and permanently damaged . A child is on a hospital bed and covered in blood. He was in an accident y. A man has a deformed face from a chemical accident a few years ago. . A man who was once a psychopath has a disgusting body. This child suffers from a stab one that happened earlier that day, He needs help. A boy is at the dentist. When he was younger, He had a cavity removed.. "
31,XBT1004,X,BT,1004,3,CHANGE,LOOK,OBJ,0.0,RegNeg,1.0,Kid crying probably dad about something as someone comforts him/holding him. Kid underneath rubble. Looks like a doll. . Man pointing gun at camera. Seems straightfaced. . Man with gun to his head. Looks like a suicide.. White man mouth open at black man. Black man is in car with jean jacket. White man has silver . Men around car with bats and sticks. Front guy is wearing white shoes and white socks. Man on left . Man being moved from a location by army personnel. Man has blood on his right shoulder suggesting a wound. . Man with see through mask has a lot of guns on the bed. Seems like he's gonna commit a crime. ROb. Police officer walks into a crime scene and sees a man who a wound. Police arresting black family. While mother and girl . 
32,ZCT3004,Z,CT,3004,1,LOOK,LOOK,LOOK,,RegNeg,,
33,ZCT3004,Z,CT,3004,2,LOOK,LOOK,LOOK,,RegNeg,,
34,ZCS3003,Z,CS,3003,4,LOOK,LOOK,LOOK,,RegNeg,,
35,XBT1004,X,BT,1004,4,CHANGE,LOOK,OBJ,0.125,RegNeg,1.0,"Baby in some incubation system. Baby is white and a g ril. . dead and white body of woman. Blood is covering certain areas . . Skin highly discolored. Body is on top of blueish sheet. There is a cut on the side. . Black man has laceration on abdomen and chest, He seems beaten . White hand that his mutilated. Blood is in a metal can. Hand is deformed.. Woman's vagina. Looks like she has a surgery as indicated by cut on pelv. Man on top of white sheets. He is white and has dark hair. He has a mustache and faint brea. Black woman with a deformed left breast. Left breast seems to inflamed and red with white . White bandages wrap child's face. Nose and around mouth have . "
36,YBT2004,Y,BT,2004,2,CHANGE,LOOK,FAR,-0.3999999999999999,RegNeg,2.0,"Yesterday a patient had his organs openly examined. the body . Yesterday, a woman was abusing a man. she is mad. he is . A woman was scolding her son earlier today for hiding in the closet. she is mad at. Yesterday a child watched as her parents were arguing, it looks like . a man got bullied and interrogated a few days ago. He was scared. he was sAD. A woman is laying with her face crushed, she is dead, this is very disturbing, lots of blood. Two people are standing while rose pedals fall, they were enjoying nature this morning. two women are sitting at a table while facing a dilemma . this happend earlier in the mo. From a distance it seems that a woman is furious with a man. she is screaming at him.. A man and a woman are talking, the woman is trying to explain something. this happened yesterd. "
37,ZCS3003,Z,CS,3003,5,LOOK,LOOK,LOOK,,RegNeg,,
38,XBT1004,X,BT,1004,5,CHANGE,LOOK,OBJ,0.0,RegNeg,1.0,"Person with cut that starts at lip level and moves to forhead. Cut has flesh . Human face with blue eyes. Has a red and discolored skin on fro. Man and woman on bed sitting far apart with arm crossed. They both have blue jeans on. The bed has a . Seems to be a body that has very discolored skin. Face is white with bla. The women is mad at the guy and his scorning at him. They seem to be at the dinner t. White man with cut through neck. Neck has a blood along it, and the blood has spread to the . There are yellow pack on both sides of the face. Face isn't visible as there is very severe. White guy who has tea in his eyes. There is swelling under both eyes, and mild discoloratio. White woman who is wearing earrings, and has curly/frizzy hair. Woman ha. Body in a white bed. On body ribs are visible. There is a . "
39,XAQ1005,X,AQ,1005,1,LOOK,CHANGE,OBJ,-0.017857142857142794,RegNeg,3.142857142857143,"The mother and father of the child in a red shirt are yelling at each other.The child is covering his ears. He doe . Crying child sitting in child chair. The chair is yellow. They are in  hospital as there are w. Man holding a gun with both hands aiming at something out of frame. His hands are clenched around the gun ready to pull the. Man holding a gun pointed to the right. There is a blue background behind him. He is shadowed.. Two men with guns are running into a room with the door open. They are holding semi automatic weapons and . There is a boy running past an armed gunman. They are of different races. The boy is holding . There is a young adult male crouched on the ground. He is wearing a bandana across his face covering the lower half. Three men are standing next to metal fence. One is holding a gun, pointed at the camera. The other two are staring straight ahead as well. Man is waving gun across body, pointing it in distance. He is not aiming to . Man has gun pointed straight into camera. He is wearing camouflage and batle attire. He is pe. "
